q101 AP880212-0047 WSJ880125-0124
q101 AP880330-0014 WSJ880125-0124 AP880212-0047
q101 WSJ880420-0116 WSJ880125-0124 AP880212-0047 AP880330-0014
q101 AP880513-0046 WSJ880125-0124 AP880212-0047 AP880330-0014 WSJ880420-0116
q103 AP900216-0143 AP891110-0177 AP891115-0221 AP891121-0108 AP900102-0112 AP900130-0064
q103 AP900220-0072 AP891115-0221 AP891121-0108 AP900102-0112 AP900130-0064 AP900216-0143
q103 AP900303-0012 AP891121-0108 AP900102-0112 AP900130-0064 AP900216-0143 AP900220-0072
q103 AP900307-0162 AP900102-0112 AP900130-0064 AP900216-0143 AP900220-0072 AP900303-0012
q103 AP900329-0178 AP900130-0064 AP900216-0143 AP900220-0072 AP900303-0012 AP900307-0162
q103 AP900412-0101 AP900216-0143 AP900220-0072 AP900303-0012 AP900307-0162 AP900329-0178
q103 AP900418-0119 AP900220-0072 AP900303-0012 AP900307-0162 AP900329-0178 AP900412-0101
q103 WSJ900426-0174 AP900303-0012 AP900307-0162 AP900329-0178 AP900412-0101 AP900418-0119
q103 AP900430-0099 AP900307-0162 AP900329-0178 AP900412-0101 AP900418-0119 WSJ900426-0174
q103 AP900430-0183 AP900329-0178 AP900412-0101 AP900418-0119 WSJ900426-0174 AP900430-0099
q103 AP900614-0081 AP900412-0101 AP900418-0119 WSJ900426-0174 AP900430-0099 AP900430-0183
q103 AP900622-0077 WSJ900426-0174 AP900430-0099 AP900430-0183 AP900614-0081 AP900614-0109
q103 AP900628-0113 AP900430-0099 AP900430-0183 AP900614-0081 AP900614-0109 AP900622-0077
q103 AP900703-0119 AP900430-0183 AP900614-0081 AP900614-0109 AP900622-0077 AP900628-0113
q103 AP900801-0216 AP900614-0081 AP900614-0109 AP900622-0077 AP900628-0113 AP900703-0119
q103 AP900831-0117 AP900614-0109 AP900622-0077 AP900628-0113 AP900703-0119 AP900801-0216
q103 AP900918-0188 AP900622-0077 AP900628-0113 AP900703-0119 AP900801-0216 AP900831-0117
q103 AP900918-0190 AP900628-0113 AP900703-0119 AP900801-0216 AP900831-0117 AP900918-0188
q103 AP900926-0177 AP900703-0119 AP900801-0216 AP900831-0117 AP900918-0188 AP900918-0190
q103 AP900927-0012 AP900801-0216 AP900831-0117 AP900918-0188 AP900918-0190 AP900926-0177
q103 AP900928-0106 AP900831-0117 AP900918-0188 AP900918-0190 AP900926-0177 AP900927-0012
q103 AP900928-0169 AP900918-0188 AP900918-0190 AP900926-0177 AP900927-0012 AP900928-0106
q103 AP901017-0143 AP900918-0190 AP900926-0177 AP900927-0012 AP900928-0106 AP900928-0169
q103 AP901030-0012 AP900927-0012 AP900928-0106 AP900928-0169 AP901017-0143 AP901019-0031
q103 AP901101-0022 AP900928-0106 AP900928-0169 AP901017-0143 AP901019-0031 AP901030-0012
q103 AP901101-0047 AP900928-0169 AP901017-0143 AP901019-0031 AP901030-0012 AP901101-0022
q103 AP901107-0035 AP901017-0143 AP901019-0031 AP901030-0012 AP901101-0022 AP901101-0047
q103 AP901130-0029 AP901030-0012 AP901101-0022 AP901101-0047 AP901107-0035 AP901107-0141
q103 AP901218-0092 AP901101-0022 AP901101-0047 AP901107-0035 AP901107-0141 AP901130-0029
q132 WSJ880125-0026 WSJ880106-0051
q132 WSJ880217-0081 WSJ880106-0051 WSJ880125-0026
q132 WSJ880219-0041 WSJ880106-0051 WSJ880125-0026 WSJ880217-0081
q132 WSJ880225-0034 WSJ880106-0051 WSJ880125-0026 WSJ880217-0081 WSJ880219-0041
q132 WSJ880324-0097 WSJ880125-0026 WSJ880217-0081 WSJ880219-0041 WSJ880225-0034 AP880225-0194
q132 AP880420-0191 WSJ880217-0081 WSJ880219-0041 WSJ880225-0034 AP880225-0194 WSJ880324-0097
q132 AP880420-0303 WSJ880219-0041 WSJ880225-0034 AP880225-0194 WSJ880324-0097 AP880420-0191
q132 AP880421-0044 WSJ880225-0034 AP880225-0194 WSJ880324-0097 AP880420-0191 AP880420-0303
q132 WSJ880509-0148 WSJ880324-0097 AP880420-0191 AP880420-0303 AP880421-0044 WSJ880421-0096
q132 WSJ880512-0151 AP880420-0191 AP880420-0303 AP880421-0044 WSJ880421-0096 WSJ880509-0148
q132 AP880515-0057 AP880420-0303 AP880421-0044 WSJ880421-0096 WSJ880509-0148 WSJ880512-0151
q132 AP880518-0180 AP880421-0044 WSJ880421-0096 WSJ880509-0148 WSJ880512-0151 AP880515-0057
q132 WSJ880523-0158 WSJ880421-0096 WSJ880509-0148 WSJ880512-0151 AP880515-0057 AP880518-0180
q132 AP880606-0223 WSJ880509-0148 WSJ880512-0151 AP880515-0057 AP880518-0180 WSJ880523-0158
q132 AP880711-0016 WSJ880512-0151 AP880515-0057 AP880518-0180 WSJ880523-0158 AP880606-0223
q132 AP880719-0301 AP880515-0057 AP880518-0180 WSJ880523-0158 AP880606-0223 AP880711-0016
q132 WSJ880804-0024 AP880518-0180 WSJ880523-0158 AP880606-0223 AP880711-0016 AP880719-0301
q132 AP880804-0056 WSJ880523-0158 AP880606-0223 AP880711-0016 AP880719-0301 WSJ880804-0024
q132 WSJ880817-0001 AP880711-0016 AP880719-0301 WSJ880804-0024 AP880804-0056 AP880804-0103
q132 AP880823-0018 AP880719-0301 WSJ880804-0024 AP880804-0056 AP880804-0103 WSJ880817-0001
q132 WSJ880902-0003 WSJ880804-0024 AP880804-0056 AP880804-0103 WSJ880817-0001 AP880823-0018
q132 WSJ880913-0066 AP880804-0056 AP880804-0103 WSJ880817-0001 AP880823-0018 WSJ880902-0003
q132 WSJ880915-0090 AP880804-0103 WSJ880817-0001 AP880823-0018 WSJ880902-0003 WSJ880913-0066
q132 AP880928-0033 WSJ880817-0001 AP880823-0018 WSJ880902-0003 WSJ880913-0066 WSJ880915-0090
q132 AP881004-0082 AP880823-0018 WSJ880902-0003 WSJ880913-0066 WSJ880915-0090 AP880928-0033
q132 AP881014-0208 WSJ880915-0090 AP880928-0033 AP881004-0082 AP881004-0165 WSJ881005-0001
q132 AP881025-0104 AP880928-0033 AP881004-0082 AP881004-0165 WSJ881005-0001 AP881014-0208
q132 AP881027-0015 AP881004-0082 AP881004-0165 WSJ881005-0001 AP881014-0208 AP881025-0104
q132 AP881029-0030 AP881004-0165 WSJ881005-0001 AP881014-0208 AP881025-0104 AP881027-0015
q132 AP881110-0135 AP881014-0208 AP881025-0104 AP881027-0015 AP881029-0030 WSJ881031-0106
q132 AP881117-0187 AP881029-0030 WSJ881031-0106 AP881110-0135 AP881110-0172 WSJ881111-0013
q132 AP881121-0220 WSJ881031-0106 AP881110-0135 AP881110-0172 WSJ881111-0013 AP881117-0187
q132 AP881122-0115 AP881110-0135 AP881110-0172 WSJ881111-0013 AP881117-0187 AP881121-0220
q132 AP881122-0143 AP881110-0172 WSJ881111-0013 AP881117-0187 AP881121-0220 AP881122-0115
q132 AP881123-0049 AP881122-0115 AP881122-0143 AP881122-0182 AP881122-0203 AP881123-0048
q132 AP881130-0090 AP881122-0143 AP881122-0182 AP881122-0203 AP881123-0048 AP881123-0049
q132 AP881130-0179 AP881122-0182 AP881122-0203 AP881123-0048 AP881123-0049 AP881130-0090
q132 AP881207-0099 AP881122-0203 AP881123-0048 AP881123-0049 AP881130-0090 AP881130-0179
q132 AP881210-0043 AP881123-0048 AP881123-0049 AP881130-0090 AP881130-0179 AP881207-0099
q132 AP881216-0139 AP881123-0049 AP881130-0090 AP881130-0179 AP881207-0099 AP881210-0043
q132 AP881217-0019 AP881130-0090 AP881130-0179 AP881207-0099 AP881210-0043 AP881216-0139
q132 AP890109-0095 AP881207-0099 AP881210-0043 AP881216-0139 AP881217-0019 AP881217-0136
q132 AP890301-0130 AP881210-0043 AP881216-0139 AP881217-0019 AP881217-0136 AP890109-0095
q132 AP890310-0167 AP881216-0139 AP881217-0019 AP881217-0136 AP890109-0095 AP890301-0130
q132 AP890404-0221 AP881217-0019 AP881217-0136 AP890109-0095 AP890301-0130 AP890310-0167
q132 AP890405-0279 AP881217-0136 AP890109-0095 AP890301-0130 AP890310-0167 AP890404-0221
q132 AP890424-0028 AP890109-0095 AP890301-0130 AP890310-0167 AP890404-0221 AP890405-0279
q132 AP890428-0144 AP890301-0130 AP890310-0167 AP890404-0221 AP890405-0279 AP890424-0028
q132 AP890430-0008 AP890310-0167 AP890404-0221 AP890405-0279 AP890424-0028 AP890428-0144
q132 AP890503-0040 AP890404-0221 AP890405-0279 AP890424-0028 AP890428-0144 AP890430-0008
q132 AP890519-0015 AP890405-0279 AP890424-0028 AP890428-0144 AP890430-0008 AP890503-0040
q132 AP890519-0196 AP890424-0028 AP890428-0144 AP890430-0008 AP890503-0040 AP890519-0015
q132 AP890530-0117 AP890428-0144 AP890430-0008 AP890503-0040 AP890519-0015 AP890519-0196
q132 AP890615-0142 AP890430-0008 AP890503-0040 AP890519-0015 AP890519-0196 AP890530-0117
q132 AP890620-0106 AP890503-0040 AP890519-0015 AP890519-0196 AP890530-0117 AP890615-0142
q132 AP890622-0199 AP890519-0015 AP890519-0196 AP890530-0117 AP890615-0142 AP890620-0106
q132 AP890624-0005 AP890519-0196 AP890530-0117 AP890615-0142 AP890620-0106 AP890622-0199
q132 AP890627-0173 AP890530-0117 AP890615-0142 AP890620-0106 AP890622-0199 AP890624-0005
q132 AP890707-0155 AP890622-0199 AP890624-0005 AP890627-0173 AP890628-0183 AP890629-0121
q132 AP890710-0095 AP890627-0173 AP890628-0183 AP890629-0121 AP890707-0155 AP890708-0022
q132 AP890711-0147 AP890707-0155 AP890708-0022 AP890710-0095 AP890710-0130 AP890711-0051
q132 AP890713-0023 AP890710-0130 AP890711-0051 AP890711-0147 AP890712-0112 AP890712-0161
q132 AP890713-0200 AP890711-0051 AP890711-0147 AP890712-0112 AP890712-0161 AP890713-0023
q132 AP890714-0048 AP890712-0112 AP890712-0161 AP890713-0023 AP890713-0200 AP890714-0047
q132 AP890714-0178 AP890712-0161 AP890713-0023 AP890713-0200 AP890714-0047 AP890714-0048
q132 AP890715-0061 AP890713-0200 AP890714-0047 AP890714-0048 AP890714-0178 AP890715-0059
q132 AP890716-0090 AP890714-0048 AP890714-0178 AP890715-0059 AP890715-0061 AP890715-0144
q132 AP890717-0107 AP890714-0178 AP890715-0059 AP890715-0061 AP890715-0144 AP890716-0090
q132 AP890717-0152 AP890715-0059 AP890715-0061 AP890715-0144 AP890716-0090 AP890717-0107
q132 AP890718-0035 AP890716-0090 AP890717-0107 AP890717-0152 AP890717-0175 AP890717-0187
q132 AP890718-0069 AP890717-0152 AP890717-0175 AP890717-0187 AP890718-0035 AP890718-0042
q132 AP890718-0078 AP890717-0175 AP890717-0187 AP890718-0035 AP890718-0042 AP890718-0069
q132 AP890719-0055 AP890718-0035 AP890718-0042 AP890718-0069 AP890718-0078 AP890718-0205
q132 AP890720-0044 AP890718-0042 AP890718-0069 AP890718-0078 AP890718-0205 AP890719-0055
q132 AP890720-0179 AP890718-0069 AP890718-0078 AP890718-0205 AP890719-0055 AP890720-0044
q132 AP890721-0092 AP890718-0078 AP890718-0205 AP890719-0055 AP890720-0044 AP890720-0179
q132 AP890722-0014 AP890718-0205 AP890719-0055 AP890720-0044 AP890720-0179 AP890721-0092
q132 AP890722-0017 AP890719-0055 AP890720-0044 AP890720-0179 AP890721-0092 AP890722-0014
q132 AP890723-0047 AP890720-0044 AP890720-0179 AP890721-0092 AP890722-0014 AP890722-0017
q132 AP890723-0093 AP890720-0179 AP890721-0092 AP890722-0014 AP890722-0017 AP890723-0047
q132 AP890724-0101 AP890721-0092 AP890722-0014 AP890722-0017 AP890723-0047 AP890723-0093
q132 AP890724-0115 AP890722-0014 AP890722-0017 AP890723-0047 AP890723-0093 AP890724-0101
q132 WSJ890726-0012 AP890724-0101 AP890724-0115 AP890724-0157 AP890725-0109 AP890725-0217
q132 AP890726-0147 AP890724-0115 AP890724-0157 AP890725-0109 AP890725-0217 WSJ890726-0012
q132 AP890727-0032 AP890725-0217 WSJ890726-0012 AP890726-0147 AP890726-0202 WSJ890727-0001
q132 AP890727-0075 WSJ890726-0012 AP890726-0147 AP890726-0202 WSJ890727-0001 AP890727-0032
q132 WSJ890727-0095 AP890726-0147 AP890726-0202 WSJ890727-0001 AP890727-0032 AP890727-0075
q132 AP890727-0136 AP890726-0202 WSJ890727-0001 AP890727-0032 AP890727-0075 WSJ890727-0095
q132 AP890728-0098 WSJ890727-0001 AP890727-0032 AP890727-0075 WSJ890727-0095 AP890727-0136
q132 AP890801-0082 AP890727-0032 AP890727-0075 WSJ890727-0095 AP890727-0136 AP890728-0098
q132 AP890802-0193 AP890727-0075 WSJ890727-0095 AP890727-0136 AP890728-0098 AP890801-0082
q132 AP890803-0059 WSJ890727-0095 AP890727-0136 AP890728-0098 AP890801-0082 AP890802-0193
q132 WSJ890803-0120 AP890727-0136 AP890728-0098 AP890801-0082 AP890802-0193 AP890803-0059
q132 AP890815-0193 AP890728-0098 AP890801-0082 AP890802-0193 AP890803-0059 WSJ890803-0120
q132 AP890816-0102 AP890801-0082 AP890802-0193 AP890803-0059 WSJ890803-0120 AP890815-0193
q132 AP890817-0037 WSJ890803-0120 AP890815-0193 AP890816-0102 AP890816-0165 WSJ890817-0021
q132 AP890824-0198 AP890815-0193 AP890816-0102 AP890816-0165 WSJ890817-0021 AP890817-0037
q132 AP890824-0199 AP890816-0102 AP890816-0165 WSJ890817-0021 AP890817-0037 AP890824-0198
q132 AP890824-0200 AP890816-0165 WSJ890817-0021 AP890817-0037 AP890824-0198 AP890824-0199
q132 AP890824-0201 WSJ890817-0021 AP890817-0037 AP890824-0198 AP890824-0199 AP890824-0200
q132 AP890826-0003 AP890817-0037 AP890824-0198 AP890824-0199 AP890824-0200 AP890824-0201
q132 AP890826-0061 AP890824-0198 AP890824-0199 AP890824-0200 AP890824-0201 AP890826-0003
q132 AP890826-0112 AP890824-0199 AP890824-0200 AP890824-0201 AP890826-0003 AP890826-0061
q132 AP890828-0004 AP890824-0200 AP890824-0201 AP890826-0003 AP890826-0061 AP890826-0112
q132 AP890907-0132 AP890826-0112 AP890828-0004 AP890828-0005 AP890828-0006 AP890828-0099
q132 AP890917-0032 AP890828-0004 AP890828-0005 AP890828-0006 AP890828-0099 AP890907-0132
q132 AP890922-0012 AP890828-0005 AP890828-0006 AP890828-0099 AP890907-0132 AP890917-0032
q132 AP890926-0169 AP890828-0006 AP890828-0099 AP890907-0132 AP890917-0032 AP890922-0012
q132 WSJ891009-0030 AP890828-0099 AP890907-0132 AP890917-0032 AP890922-0012 AP890926-0169
q132 AP891027-0193 AP890907-0132 AP890917-0032 AP890922-0012 AP890926-0169 WSJ891009-0030
q132 AP891115-0107 AP890922-0012 AP890926-0169 WSJ891009-0030 AP891027-0193 AP891114-0096
q132 AP891118-0146 AP890926-0169 WSJ891009-0030 AP891027-0193 AP891114-0096 AP891115-0107
q132 AP891122-0200 WSJ891009-0030 AP891027-0193 AP891114-0096 AP891115-0107 AP891118-0146
q132 AP891122-0204 AP891027-0193 AP891114-0096 AP891115-0107 AP891118-0146 AP891122-0200
q132 AP891130-0089 AP891114-0096 AP891115-0107 AP891118-0146 AP891122-0200 AP891122-0204
q132 AP891208-0221 AP891115-0107 AP891118-0146 AP891122-0200 AP891122-0204 AP891130-0089
q132 AP891214-0079 AP891118-0146 AP891122-0200 AP891122-0204 AP891130-0089 AP891208-0221
q132 AP891219-0127 AP891122-0200 AP891122-0204 AP891130-0089 AP891208-0221 AP891214-0079
q132 AP891226-0009 AP891122-0204 AP891130-0089 AP891208-0221 AP891214-0079 AP891219-0127
q132 AP891226-0032 AP891130-0089 AP891208-0221 AP891214-0079 AP891219-0127 AP891226-0009
q132 AP891230-0068 AP891219-0127 AP891226-0009 AP891226-0032 AP891227-0020 AP891229-0003
q132 AP900110-0135 AP891226-0009 AP891226-0032 AP891227-0020 AP891229-0003 AP891230-0068
q132 AP900112-0011 AP891226-0032 AP891227-0020 AP891229-0003 AP891230-0068 AP900110-0135
q132 AP900123-0137 AP891229-0003 AP891230-0068 AP900110-0135 AP900112-0011 AP900123-0073
q132 AP900124-0149 AP891230-0068 AP900110-0135 AP900112-0011 AP900123-0073 AP900123-0137
q132 AP900126-0089 AP900110-0135 AP900112-0011 AP900123-0073 AP900123-0137 AP900124-0149
q132 AP900129-0086 AP900123-0137 AP900124-0149 AP900126-0089 AP900126-0173 AP900127-0014
q132 AP900130-0056 AP900124-0149 AP900126-0089 AP900126-0173 AP900127-0014 AP900129-0086
q132 AP900205-0135 AP900126-0089 AP900126-0173 AP900127-0014 AP900129-0086 AP900130-0056
q132 AP900218-0049 AP900126-0173 AP900127-0014 AP900129-0086 AP900130-0056 AP900205-0135
q132 AP900222-0001 AP900127-0014 AP900129-0086 AP900130-0056 AP900205-0135 AP900218-0049
q132 AP900223-0032 AP900129-0086 AP900130-0056 AP900205-0135 AP900218-0049 AP900222-0001
q132 AP900318-0037 AP900130-0056 AP900205-0135 AP900218-0049 AP900222-0001 AP900223-0032
q132 AP900321-0109 AP900218-0049 AP900222-0001 AP900223-0032 AP900318-0037 AP900319-0026
q132 AP900328-0008 AP900222-0001 AP900223-0032 AP900318-0037 AP900319-0026 AP900321-0109
q132 AP900328-0010 AP900223-0032 AP900318-0037 AP900319-0026 AP900321-0109 AP900328-0008
q132 AP900329-0011 AP900318-0037 AP900319-0026 AP900321-0109 AP900328-0008 AP900328-0010
q132 AP900330-0029 AP900319-0026 AP900321-0109 AP900328-0008 AP900328-0010 AP900329-0011
q132 AP900403-0127 AP900321-0109 AP900328-0008 AP900328-0010 AP900329-0011 AP900330-0029
q132 AP900404-0009 AP900328-0008 AP900328-0010 AP900329-0011 AP900330-0029 AP900403-0127
q132 AP900404-0128 AP900330-0029 AP900403-0127 AP900404-0009 WSJ900404-0071 WSJ900404-0082
q132 AP900405-0032 AP900403-0127 AP900404-0009 WSJ900404-0071 WSJ900404-0082 AP900404-0128
q132 AP900405-0290 WSJ900404-0071 WSJ900404-0082 AP900404-0128 AP900405-0032 AP900405-0150
q132 AP900409-0022 WSJ900404-0082 AP900404-0128 AP900405-0032 AP900405-0150 AP900405-0290
q132 AP900421-0057 AP900404-0128 AP900405-0032 AP900405-0150 AP900405-0290 AP900409-0022
q132 AP900421-0093 AP900405-0032 AP900405-0150 AP900405-0290 AP900409-0022 AP900421-0057
q132 AP900421-0110 AP900405-0150 AP900405-0290 AP900409-0022 AP900421-0057 AP900421-0093
q132 AP900426-0139 AP900405-0290 AP900409-0022 AP900421-0057 AP900421-0093 AP900421-0110
q132 AP900426-0291 AP900421-0057 AP900421-0093 AP900421-0110 AP900426-0139 AP900426-0177
q132 AP900427-0185 AP900421-0110 AP900426-0139 AP900426-0177 AP900426-0291 WSJ900427-0094
